C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 535, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 1619, col 17, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 1641, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 1881, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2394, col 29, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2548, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2569, col 5, Warning - Avoid setting styles directly via `element.style.flexGrow`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2623, col 20, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2751, col 9, Warning - Avoid setting styles directly via `element.style.display`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2753, col 9, Warning - Avoid setting styles directly via `element.style.display`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 2762, col 9, Warning - Avoid setting styles directly via `element.style.display`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
